Threshold,Precision,Recall,F1,F2,False Negatives,True Positives,False Positives,True Negatives
0.0019988252,0.10477941176470588,0.6867469879518072,0.18181818181818182,0.3253424657534247,26,57,487,683
0.0020104703,0.10497237569060773,0.6867469879518072,0.18210862619808307,0.32571428571428573,26,57,486,684
0.0020126146,0.10516605166051661,0.6867469879518072,0.1824,0.32608695652173914,26,57,485,685
0.002013285,0.10536044362292052,0.6867469879518072,0.18269230769230768,0.32646048109965636,26,57,484,686
0.0020147993,0.10555555555555556,0.6867469879518072,0.18298555377207062,0.3268348623853211,26,57,483,687
0.0020155138,0.10575139146567718,0.6867469879518072,0.1832797427652733,0.32721010332950634,26,57,482,688
0.0020234124,0.10594795539033457,0.6867469879518072,0.18357487922705315,0.3275862068965517,26,57,481,689
0.0020237514,0.10614525139664804,0.6867469879518072,0.18387096774193548,0.32796317606444186,26,57,480,690
0.0020278215,0.10634328358208955,0.6867469879518072,0.1841680129240711,0.3283410138248848,26,57,479,691
0.002040543,0.10654205607476636,0.6867469879518072,0.18446601941747573,0.328719723183391,26,57,478,692
0.0020515078,0.10674157303370786,0.6867469879518072,0.1847649918962723,0.32909930715935337,26,57,477,693
0.00205712,0.10694183864915573,0.6867469879518072,0.18506493506493507,0.32947976878612717,26,57,476,694
0.002083962,0.10526315789473684,0.6746987951807228,0.1821138211382114,0.32407407407407407,27,56,476,694
0.0020995822,0.10546139359698682,0.6746987951807228,0.18241042345276873,0.32444959443800697,27,56,475,695
0.0021027925,0.10566037735849057,0.6746987951807228,0.18270799347471453,0.3248259860788863,27,56,474,696
0.0021036882,0.10586011342155009,0.6746987951807228,0.1830065359477124,0.3252032520325203,27,56,473,697
0.0021058274,0.10606060606060606,0.6746987951807228,0.18330605564648117,0.32558139534883723,27,56,472,698
0.0021075406,0.10436432637571158,0.6626506024096386,0.18032786885245902,0.320139697322468,28,55,472,698
0.002113705,0.10266159695817491,0.6506024096385542,0.17733990147783252,0.3146853146853147,29,54,472,698
0.0021151186,0.10285714285714286,0.6506024096385542,0.17763157894736842,0.31505250875145857,29,54,471,699
0.0021208962,0.10305343511450382,0.6506024096385542,0.17792421746293247,0.31542056074766356,29,54,470,700
0.0021272374,0.10325047801147227,0.6506024096385542,0.1782178217821782,0.3157894736842105,29,54,469,701
0.002134958,0.10153256704980843,0.6385542168674698,0.17520661157024794,0.31030444964871196,30,53,469,701
0.002145349,0.09980806142034548,0.6265060240963856,0.17218543046357615,0.3048065650644783,31,52,469,701
0.0021670826,0.1,0.6265060240963856,0.1724709784411277,0.3051643192488263,31,52,468,702
0.0021728757,0.1001926782273603,0.6265060240963856,0.17275747508305647,0.30552291421856637,31,52,467,703
0.0021791635,0.10038610038610038,0.6265060240963856,0.17304492512479203,0.3058823529411765,31,52,466,704
0.0021896355,0.10058027079303675,0.6265060240963856,0.17333333333333334,0.30624263839811544,31,52,465,705
0.0021951245,0.10077519379844961,0.6265060240963856,0.17362270450751252,0.30660377358490565,31,52,464,706
0.002198918,0.10097087378640776,0.6265060240963856,0.17391304347826086,0.3069657615112161,31,52,463,707
0.0022180143,0.10116731517509728,0.6265060240963856,0.17420435510887772,0.3073286052009456,31,52,462,708
